Comment,Designator,Footprint,LCSC
1N4007,D2,D_SMA,C111122
SS36,D3,SMA(DO-214AC),C116712
DS2482S-100+T&R,U3,21-0041B_8_MXM,C143306
10uF,"C1,C7",C_0805_2012Metric,C15850
Barrel_Jack_Switch,J4,BarrelJack_Wuerth_6941xx301002,C16214
1K,"R11,R13",R_0603_1608Metric,C21190
341,"R10,R9",R_0603_1608Metric,C23138
BSS138,"Q1,Q2",SOT-23,C255592
10K,"R1,R2,R5,R6",R_0603_1608Metric,C25804
217,"R3,R4,R8",R_0603_1608Metric,C25811
330uF,C10,CP_Elec_10x10.5,C280411
1uF,"C5,C8",C_0805_2012Metric,C28323
C2935469,F1,Fuse_Holder_C2935469,C2935469
470uF,C9,CP_Elec_10x10.5,C310845
PCA9306DCUR,IC1,PCA9306DCUR,C33196
2.2K,"R12,R7",R_0603_1608Metric,C4190
KF142V-5.0-4P,"KF1,KF2",KF142V-5.08-4P,C475136
Conn_01x03_Male,"J2,J3",PinHeader_1x03_P2.54mm_Vertical,C49257
0.1uF,"C2,C3,C4",C_0805_2012Metric,C49678
BC847,Q3,SOT-23,C57668
105133-0011,J5,MOLEX_105133-0011,C586226
22uF,C6,C_0805_2012Metric,C602037
XL2596,IC3,TO263-5L,C74190
ESP-07,U1,ESP-07S,C82895
LED,D4,LED_0805_2012Metric,C84256
CH340C,U2,SOIC-16_3.9x9.9mm_P1.27mm,C84681
BSS841,Q4,SOT-23,C8492
DS9503P,U4,TSO6C,C879660
AZ1117,IC2,SOT230P700X180-4N,C92517
SMDRI127-330MT,L1,TMPA1265SP-101MN-D,C9400
