Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,64.1,-88.0,-90.0,top
C2,0.1uF,C_0805_2012Metric,59.9,-87.9,-90.0,top
C3,0.1uF,C_0805_2012Metric,81.8,-71.7,90.0,top
C4,0.1uF,C_0805_2012Metric,48.3,-48.3,0.0,top
C5,1uF,C_0805_2012Metric,67.8,-87.3,90.0,top
C6,22uF,C_0805_2012Metric,88.05,-84.1,0.0,top
C7,10uF,C_0805_2012Metric,93.0,-81.4,-90.0,top
C8,1uF,C_0805_2012Metric,66.6,-42.5,180.0,top
C9,470uF,CP_Elec_10x10.5,73.0,-49.5,-90.0,top
C10,330uF,CP_Elec_10x10.5,87.3,-54.7,0.0,top
D2,1N4007,D_SMA,59.8,-46.4,180.0,top
D3,SS36,SMA(DO-214AC),82.8,-28.4,90.0,top
D4,LED,LED_0805_2012Metric,77.7,-62.7,90.0,top
F1,C2935469,Fuse_Holder_C2935469,47.4,-35.4,90.0,top
IC1,PCA9306DCUR,PCA9306DCUR,60.3,-56.8,180.0,top
IC2,AZ1117,SOT230P700X180-4N,87.0,-77.3,90.0,top
IC3,XL2596,TO263-5L,72.4,-32.6,90.0,top
J2,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,24.8,-56.1,0.0,top
J3,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,36.1,-56.1,180.0,top
J4,Barrel_Jack_Switch,BarrelJack_Wuerth_6941xx301002,58.4,-33.1,0.0,top
J5,105133-0011,MOLEX_105133-0011,67.56,-78.262,-90.0,top
KF1,KF142V-5.0-4P,KF142V-5.08-4P,29.990476,-76.9,90.0,top
KF2,KF142V-5.0-4P,KF142V-5.08-4P,30.07619,-39.0,90.0,top
L1,SMDRI127-330MT,TMPA1265SP-101MN-D,88.4,-40.0,-90.0,top
Q1,BSS138,SOT-23,71.4,-87.3,180.0,top
Q2,BSS138,SOT-23,77.4,-87.3,0.0,top
Q3,BC847,SOT-23,41.1,-59.6,180.0,top
Q4,BSS841,SOT-23,41.2,-53.5,180.0,top
R1,10K,R_0603_1608Metric,45.9,-88.975,-90.0,top
R2,10K,R_0603_1608Metric,49.9,-88.975,-90.0,top
R3,217,R_0603_1608Metric,66.3,-60.5,180.0,top
R4,217,R_0603_1608Metric,66.3,-57.5,180.0,top
R5,10K,R_0603_1608Metric,54.9,-65.6,180.0,top
R6,10K,R_0603_1608Metric,58.9,-65.6,180.0,top
R7,2.2K,R_0603_1608Metric,55.8,-88.975,90.0,top
R8,200K,R_0603_1608Metric,53.2,-58.7,90.0,top
R9,341,R_0603_1608Metric,49.35,-58.7,90.0,top
R10,341,R_0603_1608Metric,58.7,-53.6,-90.0,top
R11,1K,R_0603_1608Metric,42.0,-64.2,90.0,top
R12,2.2K,R_0603_1608Metric,45.5,-58.7,90.0,top
R13,1K,R_0603_1608Metric,77.7,-58.4,-90.0,top
U1,ESP-07,ESP-07S,52.9,-75.7,90.0,top
U2,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,75.525,-77.055,0.0,top
U3,DS2482S-100+T&R,21-0041B_8_MXM,52.3,-52.5,0.0,top
U4,DS9503P,TSO6C,30.1,-62.9,-90.0,top
